Location,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,0.8,1,1.3,1.6,1.1,1.8,1.8,2.7,3.6,4.1,4.5,4.1,3.8,3.6,3.5,5.6,6.1,7.5,9
Alaska,4,4,0,0,0,0,0,4.1,0,12.5,12.5,8.7,8.7,10.8,9.2,10.6,11,12.5,13.9
Arizo0,4.7,4.8,5.2,6.2,6.4,6.3,6.6,7.8,7.7,8.1,9.8,9.9,8.8,8.2,8.2,8.8,10.2,11.4,13.5
Arkansas,1.1,0.8,1.1,3.5,3.4,4.8,4.6,5.1,5.4,7.2,7.2,6.8,6.2,6,5.6,6.3,7.2,5.9,6.5
California,4.5,3,1.6,4.2,4,4,3.8,4.1,4.5,4.8,5.2,5,5,4.4,4.9,5,4.9,4.9,5.3
Colorado,3.7,3.9,4.2,4.2,4.5,4.8,6.2,6.7,7,7,7.7,5.9,8,7.7,8,9.4,8.7,9.5,10
Connecticut,4.4,4.8,4.3,5,4.9,5.7,4.7,6.4,7,6.5,6.2,6.3,6,5.7,12.3,15.2,19.2,24.5,27.7
Delaware,4.1,3.7,4.5,6,4.5,4.2,3.5,4.5,5.1,7.7,9.3,12,12.6,9.2,12.8,13.9,14.8,16.9,27.8
District of Columbia,4.9,7.7,8.1,5.2,10.7,9.4,7.8,9.6,5.2,5.1,0,5.8,8,7.3,8.6,9.4,14.5,30,34.7
Florida,2.6,3.6,5.4,5.9,6.3,7.1,6.3,6.9,8.2,8.2,8.7,9.1,8.4,6.9,6.6,7.2,9.4,14.4,16.3
Georgia,1,1.4,2.1,2.5,2.7,2.9,3.3,3.6,4.1,4.2,5,5.4,5.4,5.4,5.3,7,8.4,8.8,9.7
Hawaii,2.4,2.3,3,3.7,3.4,4.4,5,4,5.7,3.9,4.1,5.3,5.4,4.5,4.7,3.9,4.1,5.2,3.4
Idaho,2.5,2.2,4.1,3.5,4.2,3.5,3.7,5,4.3,4.8,4.2,5.3,5.1,3.9,4.8,5,6,7.4,6.2
Illinois,3.9,4.5,4.2,4.6,3.7,4.2,4.7,6.9,5.5,6.7,6.9,6.8,7.1,8.9,8.3,9.4,10.7,15.3,17.2
India0,0.8,0.7,1.1,1,2.1,2.2,2.6,2.8,3.9,5,5,4.5,5.6,5.9,5.7,7.3,8.5,12.6,18.8
Iowa,0,0,0.9,1.3,1.4,2.1,2.4,3.3,3.6,4.4,4.9,5.1,5.9,5.9,6.1,5.3,5.8,6.2,6.9
Kansas,1,0.9,1.8,3,2.9,4.4,4.1,4.5,4.4,3.5,5.5,3.8,4.3,6.3,5.7,6,5.4,5.1,5.1
Kentucky,1.3,2.3,3.5,4.4,5.7,5.4,6.8,8,8.1,8.7,10.2,14.1,15.8,15.5,15.5,16.8,21,23.6,27.9
Louisia0,0.7,1.2,1.8,2.1,2.7,3.2,3.8,4.6,4.9,2.9,2.8,2.8,2.5,3.7,5.9,5.7,6.3,7.7,9.3
Maine,2.1,3.2,4.3,7.3,6.7,7.7,9,7.3,8.1,8.2,8.7,7.1,6.7,7.9,9.9,13.7,19.3,25.2,29.9
Maryland,8.8,8.7,8.8,9.7,9.9,8.5,8.6,9.7,10.3,8.7,9.9,8.7,9.1,10.9,12.3,15,17.7,29.7,32.2
Massachusetts,5,4.8,7.6,7.4,9,7.1,8.6,10.1,9.9,9.1,9.4,8.3,9.9,10.4,13.3,17,23.3,29.7,28.2
Michigan,1.2,1.8,1.9,2.3,2.5,3.5,4.8,6,5.1,6.5,7.5,7,7.5,7.1,9.4,10.9,13.6,18.5,21.2
Minnesota,1.2,1.1,1.9,1.9,2.1,2.6,2.8,3,3.4,4.3,5.2,4.4,5.3,5.3,5.6,6,6.2,7.4,7.8
Mississippi,0,0,0.9,0.9,1.1,1,1.4,2.3,3.3,3.7,3.4,3.3,2.9,3.9,3.4,3.9,5.3,6.2,6.4
Missouri,1.8,2.4,2.4,3.4,4.8,4.9,5.3,7.1,6.7,8.2,9,10.3,10.2,9.3,10.7,12,11.7,15.9,16.5
Monta0,0,0,2.3,2.2,4.7,5,4.7,5.2,6.3,7.6,9.4,6.1,6.8,5.3,7.2,5.4,5,4.2,3.6
